model,suite,task_label,task_text,n_layers,n_heads,k,n_ffn_active,n_attn_layers,compute_horizon,compute_horizon_pct,skip_com_pct,fragmentation,tail_skip_pct,late_attn_frac,attn_cutoff_pct,ffn_profile,attn_profile
gpt2,surface,Sky color (trivial),The sky is,12,12,20,9,11,10,0.9167,0.6061,3,0.9167,0.4722,1.0,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.667, 1.0, 0.833, 0.0, 0.583]"
gpt2,surface,Boiling point (trivial),Water boils at one hundred degrees,12,12,21,11,10,11,1.0,0.3636,1,1.0,0.5833,1.0,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.75]"
gpt2,surface,Number sequence,One two three four,12,12,18,6,12,5,0.5,0.7727,1,0.5,0.4167,1.0,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 0.917, 1.0, 1.0, 0.583, 0.833, 0.333, 0.5, 0.417]"
gpt2,surface,Dog sentence (surface),The dog barked at the,12,12,19,8,11,7,0.6667,0.8636,1,0.6667,0.5833,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 1.0, 0.917, 0.0, 0.833]"
gpt2,surface,Greeting (surface),"Hello, my name",12,12,20,11,9,10,0.9167,1.0,1,0.9167,0.2778,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.833]"
gpt2,surface,Cat sentence (surface),The cat sat on the,12,12,21,9,12,11,1.0,0.3636,3,1.0,0.9444,1.0,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.833, 1.0, 1.0]"
gpt2,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,12,12,20,9,11,9,0.8333,0.6667,2,0.8333,0.6667,0.9167,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,12,12,19,8,11,7,0.6667,0.8636,1,0.6667,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,7,11,6,0.5833,0.8182,1,0.5833,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,7,11,6,0.5833,0.8182,1,0.5833,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,15,7,8,6,0.5833,0.8182,1,0.5833,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
gpt2,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,16,7,9,6,0.5833,0.8182,1,0.5833,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
gpt2-medium,mixed,Surface,The dog barked loudly.,24,16,40,16,24,23,1.0,0.4946,4,1.0,0.3542,1.0,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[0.812, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.625, 1.0, 0.75, 0.75, 0.875, 1.0, 0.375, 0.188, 0.562, 0.312]"
gpt2-medium,mixed,Factual recall,The capital of France is,24,16,38,18,20,22,0.9583,0.7899,5,0.9583,0.3333,0.9167,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[0.625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.875, 1.0, 1.0, 1.0, 0.812, 0.0, 0.875, 1.0, 0.938, 0.0, 0.0, 0.0, 0.562, 0.625, 0.188, 0.188]"
gpt2-medium,mixed,Trivial arithmetic,2 + 2 =,24,16,37,16,21,15,0.6667,0.8478,1,0.6667,0.25,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.938, 1.0, 0.938, 1.0, 0.875, 0.812, 0.812, 0.562, 0.375, 0.0, 0.75, 0.0, 0.375, 0.375, 0.438, 0.0, 0.312]"
gpt2-medium,mixed,1-hop chain,Alice is the mother of Bob. Alice's child is,24,16,39,16,23,15,0.6667,0.8478,1,0.6667,0.7083,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.938, 1.0, 0.812, 0.875, 0.688, 1.0, 0.0, 0.938, 0.688, 1.0, 0.438]"
gpt2-medium,mixed,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,24,16,37,15,22,14,0.625,0.8261,1,0.625,0.4375,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.938, 1.0, 1.0, 0.0, 0.75, 0.0, 0.562]"
gpt2-medium,mixed,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,36,15,21,14,0.625,0.8261,1,0.625,0.5,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.875, 0.0, 0.625]"
gpt2-medium,mixed,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",24,16,39,16,23,22,0.9583,0.8098,2,0.9583,0.5208,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 0.875, 0.938, 1.0, 0.875, 0.938, 0.688, 1.0, 1.0, 0.938, 0.0, 0.812, 0.75]"
gpt2-medium,mixed,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",24,16,40,17,23,22,0.9583,0.764,3,0.9583,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.812, 1.0, 1.0, 0.938, 1.0, 0.938, 0.875, 0.0, 0.5, 0.688, 0.875, 0.688]"
gpt2-medium,mixed,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",24,16,39,16,23,16,0.7083,0.8424,2,0.7083,0.4583,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 0.812, 0.812, 0.812, 0.812, 0.688, 0.0, 0.75, 0.625]"
gpt2-medium,mixed,Analogy,Paris is to France as Berlin is to,24,16,38,15,23,14,0.625,0.8261,1,0.625,0.7292,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 0.938, 1.0, 0.938, 0.812, 1.0, 0.75, 0.875, 0.75, 0.812, 0.938, 0.0, 0.688, 0.688, 1.0, 0.5]"
gpt2-medium,surface,Sky color (trivial),The sky is,24,16,39,16,23,22,0.9583,0.7446,3,0.9583,0.25,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0]","[0.688, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.938, 0.188, 0.562, 0.562, 0.438, 0.75, 0.625, 0.562, 0.0, 0.438, 0.312]"
gpt2-medium,surface,Boiling point (trivial),Water boils at one hundred degrees,24,16,40,20,20,22,0.9583,0.8043,2,0.9583,0.5208,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 0.875, 0.875, 1.0, 0.938, 0.0, 0.75, 0.875, 0.0, 0.0, 0.0, 1.0, 0.562]"
gpt2-medium,surface,Number sequence,One two three four,24,16,39,17,22,22,0.9583,0.7888,4,0.9583,0.5625,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[1.0, 1.0, 1.0, 1.0, 0.938, 0.812, 0.812, 1.0, 0.875, 1.0, 1.0, 0.812, 0.812, 0.688, 0.562, 0.688, 0.0, 0.812, 0.938, 0.312, 0.0, 0.438, 0.875, 0.375]"
gpt2-medium,surface,Dog sentence (surface),The dog barked at the,24,16,38,16,22,16,0.7083,0.8424,2,0.7083,0.3542,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 0.938, 1.0, 0.875, 1.0, 0.812, 0.75, 0.562, 0.312, 0.0, 0.5, 0.0, 0.562]"
gpt2-medium,surface,Greeting (surface),"Hello, my name",24,16,41,22,19,23,1.0,0.8696,2,1.0,0.0833,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.875, 0.875, 0.0, 0.625, 0.25, 0.25, 0.0, 0.0, 0.25]"
gpt2-medium,surface,Cat sentence (surface),The cat sat on the,24,16,41,17,24,22,0.9583,0.8261,3,0.9583,0.8333,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.688, 0.75, 0.688, 0.875, 0.875, 1.0, 0.875, 1.0, 0.625]"
gpt2-medium,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,24,16,39,16,23,15,0.6667,0.8478,1,0.6667,0.7083,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.938, 1.0, 0.812, 0.875, 0.688, 1.0, 0.0, 0.938, 0.688, 1.0, 0.438]"
gpt2-medium,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,24,16,37,15,22,14,0.625,0.8261,1,0.625,0.4375,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.938, 1.0, 1.0, 0.0, 0.75, 0.0, 0.562]"
gpt2-medium,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,36,15,21,14,0.625,0.8261,1,0.625,0.5,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.875, 0.0, 0.625]"
gpt2-medium,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,37,14,23,13,0.5833,0.8043,1,0.5833,0.9167,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 1.0, 1.0, 0.875, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.75]"
gpt2-medium,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],24,16,34,13,21,12,0.5417,0.7826,1,0.5417,0.5417,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 0.938, 0.938, 1.0, 1.0, 0.938, 0.0, 0.938, 0.875, 0.875, 0.0, 0.938, 0.0, 0.688]"
gpt2-medium,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],24,16,35,14,21,13,0.5833,0.8043,1,0.5833,0.2292,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 0.938, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.812, 0.875, 0.0, 0.0, 0.0, 0.688]"
gpt2-large,mixed,Surface,The dog barked loudly.,36,20,61,26,35,35,1.0,0.58,2,1.0,0.6333,1.0,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.85, 0.9, 0.9, 0.8, 0.7, 0.75, 0.85, 0.85, 0.55, 0.65, 0.55, 0.3, 0.0, 0.6, 0.6, 0.45, 0.45, 1.0]"
gpt2-large,mixed,Factual recall,The capital of France is,36,20,59,28,31,35,1.0,0.3643,4,1.0,0.3667,1.0,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3, 0.95, 0.95, 1.0, 0.8, 0.55, 0.9, 0.8, 1.0, 0.7, 0.95, 0.85, 0.7, 0.0, 0.35, 0.75, 0.0, 0.0, 0.65, 0.0, 0.0, 0.15, 0.2, 0.75]"
gpt2-large,mixed,Trivial arithmetic,2 + 2 =,36,20,58,28,30,27,0.7778,0.9,1,0.7778,0.1667,0.9722,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.95, 1.0, 0.95, 0.85, 0.95, 0.8, 0.95, 0.95, 0.85, 0.6, 0.65, 0.7, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.7, 0.15, 0.35, 0.0]"
gpt2-large,mixed,1-hop chain,Alice is the mother of Bob. Alice's child is,36,20,59,26,33,28,0.8056,0.7314,3,0.8056,0.7667,1.0,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 0.9, 0.95, 0.75, 1.0, 0.8, 0.95, 0.7, 0.75, 0.95, 0.85, 0.85, 0.55, 0.25, 0.0, 0.0, 0.0, 0.85, 0.5, 0.95]"
gpt2-large,mixed,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,36,20,56,24,32,23,0.6667,0.8429,1,0.6667,0.85,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 0.95, 1.0, 0.95, 1.0, 1.0, 1.0, 0.7, 0.9, 0.0, 0.95, 0.95, 0.95, 0.45, 0.0, 0.0, 0.0, 0.85, 0.75, 0.95]"
gpt2-large,mixed,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],36,20,46,21,25,20,0.5833,0.8,1,0.5833,0.0,0.6944,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 0.9, 1.0, 1.0, 0.85, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gpt2-large,mixed,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",36,20,56,24,32,23,0.6667,0.8429,1,0.6667,0.55,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85, 0.8, 0.85, 0.95, 0.6, 0.85, 0.9, 0.9, 0.9, 0.0, 0.0, 0.6, 0.0, 0.0, 0.2, 0.65, 0.8]"
gpt2-large,mixed,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",36,20,60,25,35,24,0.6944,0.8571,1,0.6944,0.3833,0.9722,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 0.85, 0.9, 0.9, 0.75, 1.0, 0.8, 0.5, 0.5, 0.7, 0.35, 0.6, 0.55, 0.0]"
gpt2-large,mixed,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",36,20,59,25,34,29,0.8333,0.6156,3,0.8333,0.3833,0.9722,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.9, 0.85, 0.95, 0.85, 0.65, 0.7, 0.65, 0.7, 0.55, 0.45, 0.65, 0.3, 0.0, 0.75, 0.5, 0.65, 0.0]"
gpt2-large,mixed,Analogy,Paris is to France as Berlin is to,36,20,54,22,32,21,0.6111,0.8143,1,0.6111,0.2833,0.9722,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 0.95, 1.0, 0.85, 0.85, 0.8, 0.55, 0.7, 0.95, 0.8, 0.85, 0.65, 0.6, 0.6, 0.0, 0.0, 0.35, 0.0, 0.35, 0.3, 0.55, 0.0]"
