model,suite,task_label,task_text,n_layers,n_heads,k,n_ffn_active,n_attn_layers,compute_horizon,compute_horizon_pct,skip_com_pct,fragmentation,tail_skip_pct,late_attn_frac,attn_cutoff_pct,ffn_profile,attn_profile
gpt2-medium,reasoning,1-hop chain,Alice is the mother of Bob. Alice's child is,24,16,39,16,23,15,0.6667,0.8478,1,0.6667,0.7083,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.938, 1.0, 0.812, 0.875, 0.688, 1.0, 0.0, 0.938, 0.688, 1.0, 0.438]"
gpt2-medium,reasoning,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,24,16,37,15,22,14,0.625,0.8261,1,0.625,0.4375,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.938, 1.0, 1.0, 0.0, 0.75, 0.0, 0.562]"
gpt2-medium,reasoning,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,36,15,21,14,0.625,0.8261,1,0.625,0.5,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.875, 0.0, 0.625]"
gpt2-medium,reasoning,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",24,16,39,16,23,22,0.9583,0.8098,2,0.9583,0.5208,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 0.875, 0.938, 1.0, 0.875, 0.938, 0.688, 1.0, 1.0, 0.938, 0.0, 0.812, 0.75]"
gpt2-medium,reasoning,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",24,16,40,17,23,22,0.9583,0.764,3,0.9583,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.812, 1.0, 1.0, 0.938, 1.0, 0.938, 0.875, 0.0, 0.5, 0.688, 0.875, 0.688]"
gpt2-medium,reasoning,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",24,16,39,16,23,16,0.7083,0.8424,2,0.7083,0.4583,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 0.812, 0.812, 0.812, 0.812, 0.688, 0.0, 0.75, 0.625]"
gpt2-medium,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,24,16,39,16,23,15,0.6667,0.8478,1,0.6667,0.7083,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.938, 1.0, 0.812, 0.875, 0.688, 1.0, 0.0, 0.938, 0.688, 1.0, 0.438]"
gpt2-medium,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,24,16,37,15,22,14,0.625,0.8261,1,0.625,0.4375,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.938, 1.0, 1.0, 0.0, 0.75, 0.0, 0.562]"
gpt2-medium,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,36,15,21,14,0.625,0.8261,1,0.625,0.5,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.875, 0.0, 0.625]"
gpt2-medium,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,37,14,23,13,0.5833,0.8043,1,0.5833,0.9167,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 1.0, 1.0, 0.875, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.75]"
gpt2-medium,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],24,16,34,13,21,12,0.5417,0.7826,1,0.5417,0.5417,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 0.938, 0.938, 1.0, 1.0, 0.938, 0.0, 0.938, 0.875, 0.875, 0.0, 0.938, 0.0, 0.688]"
gpt2-medium,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],24,16,35,14,21,13,0.5833,0.8043,1,0.5833,0.2292,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 0.938, 1.0, 0.938, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.812, 0.875, 0.0, 0.0, 0.0, 0.688]"
pythia-160m,reasoning,1-hop chain,Alice is the mother of Bob. Alice's child is,12,12,17,9,8,11,1.0,0.8182,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.917, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,reasoning,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,reasoning,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,11,7,11,1.0,0.7273,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,reasoning,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.833, 0.0, 0.583, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,reasoning,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",12,12,18,10,8,11,1.0,0.8636,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.583, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,reasoning,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,12,12,17,9,8,11,1.0,0.8182,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.917, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,11,7,11,1.0,0.7273,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,17,9,8,11,1.0,0.8182,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,15,7,8,11,1.0,0.7273,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.833, 0.583, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,16,8,8,11,1.0,0.7727,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.5, 0.0, 0.0, 0.0, 0.0]"
